id	title	artist	genre	mood	energy	tempo_bpm	valence	danceability	acousticness	popularity	release_decade	mood_tag
1	Sunrise City	Neon Echo	pop	happy	0.82	118	0.84	0.79	0.18	78	2020	euphoric
2	Midnight Coding	LoRoom	lofi	chill	0.42	78	0.56	0.62	0.71	65	2020	serene
3	Storm Runner	Voltline	rock	intense	0.91	152	0.48	0.66	0.10	72	2010	aggressive
4	Library Rain	Paper Lanterns	lofi	chill	0.35	72	0.60	0.58	0.86	58	2020	serene
5	Gym Hero	Max Pulse	pop	intense	0.93	132	0.77	0.88	0.05	85	2020	uplifting
6	Spacewalk Thoughts	Orbit Bloom	ambient	chill	0.28	60	0.65	0.41	0.92	45	2020	serene
7	Coffee Shop Stories	Slow Stereo	jazz	relaxed	0.37	90	0.71	0.54	0.89	62	2010	nostalgic
8	Night Drive Loop	Neon Echo	synthwave	moody	0.75	110	0.49	0.73	0.22	70	2020	nostalgic
9	Focus Flow	LoRoom	lofi	focused	0.40	80	0.59	0.60	0.78	55	2020	focused
10	Rooftop Lights	Indigo Parade	indie pop	happy	0.76	124	0.81	0.82	0.35	74	2010	euphoric
11	Concrete Throne	Iron Static	hip-hop	intense	0.88	140	0.52	0.91	0.08	88	2020	aggressive
12	Golden Hour Drift	Marisol V.	r&b	relaxed	0.55	95	0.78	0.69	0.44	76	2010	nostalgic
13	Dust & Strings	The Hollows	country	melancholy	0.44	104	0.62	0.57	0.81	52	2010	melancholic
14	Cumbia del Sol	Ritmo Libre	latin	happy	0.80	126	0.88	0.92	0.30	80	2020	euphoric
15	Frequency Zero	Datawave	electronic	focused	0.72	128	0.44	0.85	0.03	68	2020	focused
16	Mountain Echo	Pine & Fog	folk	peaceful	0.31	88	0.73	0.46	0.95	47	2010	serene
17	Pressure Drop	The Riddim Co.	reggae	relaxed	0.58	96	0.80	0.76	0.55	65	1980	uplifting
18	Burning Canvas	Ashfall	metal	intense	0.97	168	0.30	0.55	0.04	71	2010	aggressive
19	Quarter Past Blue	Velvet Margin	jazz	moody	0.46	84	0.53	0.58	0.76	60	2000	melancholic
20	Neon Petals	Sakura Circuit	j-pop	happy	0.79	122	0.90	0.83	0.14	82	2020	euphoric
